To_address,from<120,from120~240,from240~360,from360~480,from480~600,from>=600,FromAverage,to<120,to120~240,to240~360,to360~480,to480~600,to>=600,ToAverage
15105,1,0,1,0,0,1,8326,1,1,1,0,0,0,8306
10277,0,0,0,0,1,0,241,0,0,0,0,0,2,5207
8091,0,0,0,0,2,0,4624,1,0,0,0,0,0,1
2699,2,0,0,0,0,0,4801,2,0,0,0,4,0,8009
13796,1,0,0,0,0,0,1,1,0,0,0,2,0,7039
2459,5,0,2,0,2,0,2845,2,0,0,2,0,0,2970
2928,1,0,0,0,0,1,3582,1,1,1,0,0,0,4648
3695,0,1,0,0,0,0,44,1,0,0,0,3,0,9487
28,10,1,3,3,6,1,2473,9,1,5,1,3,1,3618
38,60,9,15,12,18,5,5666,42,5,6,16,23,9,5485
980,13,3,4,6,11,3,5278,16,6,6,6,6,4,4716
545,5,3,2,2,1,0,5974,8,1,3,5,4,0,6863
2441,3,0,1,0,0,0,6794,1,1,0,0,3,2,69486
3395,2,0,3,5,2,0,2719,1,0,0,0,0,0,9
4918,2,0,0,0,1,0,3890,0,0,0,2,0,0,2922
441,2,2,0,0,3,0,7497,2,0,2,2,1,0,6576
3760,4,4,3,1,3,0,8395,2,1,0,2,1,0,8726
5398,7,3,2,0,2,0,6372,7,0,1,3,5,0,6649
100,17,7,3,4,7,2,12193,12,6,10,4,1,0,12715
6273,2,1,0,0,0,0,4570,1,0,0,0,0,0,29
7660,3,3,0,0,1,0,7502,0,3,1,3,0,1,7661
3600,8,0,0,2,2,0,6988,5,0,1,0,0,0,7805
1480,5,2,3,1,3,2,8639,5,1,2,1,4,1,8358
6619,2,3,0,0,0,0,5834,1,0,1,5,1,0,6392
2753,13,3,2,4,0,2,9201,14,4,0,4,3,1,9039
1915,0,1,0,0,0,0,32,1,0,0,0,1,0,1588
502,7,1,1,3,1,0,10416,9,1,3,0,1,0,11104
2170,4,0,0,0,0,0,7386,3,0,0,0,0,0,6566
