ToAddress,FromCount,ToCount,FromAverage,ToAverage,TotalCount
3,81,68,6141,5383,149
4,49,67,4673,4369,116
5,3,5,6192,8180,8
8,6,17,9360,7904,23
13,16,22,10756,9532,38
15,6,9,2776,2122,15
16,10,12,2980,2346,22
28,24,20,2473,3618,44
29,12,7,9514,12303,19
30,114,99,6062,6233,213
31,252,286,9856,9884,538
35,4,1,5033,3,5
36,23,22,4658,5223,45
37,31,44,4168,4796,75
38,119,101,5666,5485,220
39,8,6,11319,4658,14
43,87,53,5840,5276,140
46,1,1,24,34,2
48,20,12,9824,9086,32
59,22,20,7883,7405,42
60,9,10,9151,8680,19
68,20,18,5215,9828,38
69,9,5,7854,8264,14
70,177,169,6067,6211,346
74,13,7,9994,9258,20
75,10,12,1332,17368,22
76,5,6,4385,5257,11
77,2,1,7301,421,3
78,3,5,2753,3164,8
80,306,300,7398,7399,606
86,12,12,10238,9355,24
90,18,14,11387,11391,32
97,18,12,5168,2501,30
98,104,96,7532,7466,200
99,17,11,3595,2901,28
100,40,33,12193,12715,73
105,19,16,4718,3719,35
127,32,22,3141,2718,54
133,2,2,1357,1356,4
138,14,14,7930,7925,28
143,1,2,6,1344,3
151,14,19,2315,2491,33
180,1,2,6,1330,3
181,9,5,3574,4462,14
188,3,4,311,351,7
197,2,3,7650,9944,5
201,1,1,17,180,2
207,8,3,1259,1626,11
209,7,5,3070,2805,12
252,3,3,9785,9782,6
267,4,9,9326,10660,13
294,1,3,251,5266,4
297,1,1,14,51,2
300,2,3,789,5152,5
302,2,2,7275,7272,4
303,12,14,6452,6431,26
305,33,22,5760,5914,55
306,2,4,5165,5364,6
307,6,7,47519,5289,13
310,2,4,1436,2250,6
312,3,4,3535,4054,7
316,6,2,2597,1557,8
317,14,8,2060,3367,22
318,4,3,5069,6660,7
319,11,12,4720,5664,23
320,40,50,5623,5579,90
321,3,2,5672,4327,5
322,137,126,7509,7421,263
323,6,2,2915,1986,8
331,31,29,10459,9536,60
333,3,5,5413,9619,8
337,111,115,7099,6527,226
355,9,12,2220,2256,21
360,3,1,3466,403,4
361,29,37,13524,8754,66
367,2,3,1911,5684,5
368,157,153,9583,10099,310
376,16,22,10744,11159,38
379,15,11,4205,8277,26
380,18,8,5004,5386,26
384,4,5,10975,11703,9
386,39,42,5728,6125,81
387,10,7,988,1884,17
398,7,7,2924,2814,14
402,13,9,11306,9505,22
408,4,2,10836,7241,6
410,11,13,12800,12485,24
411,11,5,8954,8197,16
413,140,158,10415,10396,298
431,4,2,2443,1612,6
441,7,7,7497,6576,14
444,6,1,7754,204,7
478,1,2,80,6903,3
479,58,76,9051,8734,134
480,3,1,71,74,4
481,157,180,9629,9759,337
482,24,17,12079,11577,41
485,5,8,1047,1171,13
501,25,21,10884,10431,46
502,13,14,10416,11104,27
504,9,11,6214,7158,20
506,6,5,2885,2640,11
508,62,67,5851,6558,129
510,3,2,6618,3472,5
511,22,18,5114,5036,40
513,42,32,12684,11836,74
514,7,7,3903,3442,14
517,4,4,5919,9053,8
521,4,6,6805,9196,10
522,6,8,5581,3372,14
530,34,35,3413,2834,69
537,2,4,2201,8319,6
539,12,8,3755,3582,20
545,13,21,5974,6863,34
548,86,81,6946,12407,167
549,47,49,5548,4059,96
550,3,3,9706,8948,6
552,4,2,9528,6573,6
554,63,78,10623,9770,141
558,34,31,4094,4122,65
560,1,3,140,3521,4
571,1,3,8,863,4
572,1,4,19,9274,5
578,11,13,2947,3099,24
584,9,8,7253,4515,17
588,9,7,4794,2616,16
599,42,44,10797,10714,86
600,2,4,6815,8204,6
608,81,77,4565,4711,158
614,67,71,5384,5253,138
619,1,1,4,162,2
623,2,5,115,52599,7
624,1,2,225,3940,3
625,1,4,41,3976,5
633,2,4,7294,10659,6
638,20,23,5637,5873,43
644,2,1,4805,87,3
667,16,17,5841,5342,33
669,7,9,5100,5277,16
679,6,8,11170,10943,14
689,2,1,151,110,3
692,13,8,4096,3346,21
720,12,17,9476,19706,29
728,16,20,3341,3899,36
735,2,1,219610,2,3
736,2,1,1047,243,3
737,16,16,1960,2684,32
748,9,7,8355,3865,16
752,21,17,10901,10536,38
772,109,120,5133,4767,229
773,72,101,5986,6594,173
776,5,5,11752,11675,10
847,4,2,169,198,6
860,3,1,28642,59,4
865,27,43,11268,11305,70
866,19,16,12006,10626,35
885,1,1,23,44009,2
891,4,5,320,2980,9
896,18,12,6963,7169,30
902,15,21,7015,6667,36
905,1,2,24,200,3
906,1,2,6,6676,3
916,9,8,4829,4217,17
924,2,2,6945,762,4
925,1,1,7,129,2
931,5,8,1512,3212,13
933,4,5,4850,2865,9
937,7,4,3570,2850,11
957,5,7,10340,10062,12
961,1,1,4,16,2
966,2,3,4316,2945,5
969,3,1,2308,18,4
972,9,6,4695,5367,15
980,40,44,5278,4716,84
988,1,3,142,252,4
1055,1,4,45,7474,5
1056,4,5,468,393,9
1061,7,11,2953,3732,18
1104,8,6,2984,3301,14
1106,13,7,3951,6992,20
1111,2,2,4036,3868,4
1113,1,3,1,296,4
1116,4,5,428,4813,9
1123,6,3,423,335,9
1125,3,5,5606,1603,8
1140,2,2,5743,5852,4
1153,2,1,4339,179,3
1154,18,24,8775,8887,42
1163,3,4,325,445,7
1164,3,4,5008,4064,7
1165,24,24,5007,4427,48
1175,2,1,6570,360,3
1192,19,19,11233,13782,38
1207,31,22,10462,11451,53
1217,1,1,204,27,2
1233,1,2,378,441,3
1240,3,4,5644,9638,7
1243,8,10,9400,8976,18
1244,30,23,9254,8698,53
1246,1,1,6,2,2
1258,5,2,7602,4894,7
1270,4,8,5594,6565,12
1282,3,2,5403,4131,5
1285,3,1,6095,7,4
1286,1,2,1079,4758,3
1288,4,2,4371,4996,6
1304,2,7,6873,9821,9
1350,2,3,4760,6173,5
1352,15,30,6720,7693,45
1356,2,1,5925,149,3
1362,4,3,4161,5506,7
1365,2,1,320,86,3
1369,12,9,11641,11505,21
1373,4,1,504,13,5
1375,3,2,8941,7125,5
1383,4,5,7384,7794,9
1387,2,1,1041,817,3
1388,11,4,5373,6167,15
1393,9,12,7316,8146,21
1394,3,2,1784,1338,5
1395,14,12,2861,3502,26
1397,1,3,59,2086,4
1402,8,6,3413,4281,14
1409,16,17,9888,10257,33
1416,4,4,8175,8114,8
1417,4,5,3084,4778,9
1418,90,111,5805,5767,201
1456,1,2,27,6080,3
1459,1,1,72,256,2
1480,16,14,8639,8358,30
1484,12,12,1930,1926,24
1493,12,12,6317,3901,24
1501,7,5,763,729,12
1512,6,4,9851,8844,10
1513,10,9,30695,3828,19
1514,6,5,4675,2694,11
1541,9,3,8103,6131,12
1549,6,2,6827,4097,8
1554,27,37,12121,11747,64
1555,6,7,2995,4629,13
1556,2,4,7261,10872,6
1571,7,13,4714,7616,20
1582,3,2,8953,6227,5
1644,4,4,6537,6533,8
1652,4,10,9950,8463,14
1655,4,3,771,677,7
1657,6,8,959,1020,14
1658,2,2,3435,3437,4
1663,21,28,6186,6640,49
1742,18,15,7949,8556,33
1758,2,3,4622,6188,5
1775,1,1,172,248,2
1777,33,17,17500,10959,50
1794,1,2,15,1320,3
1803,41,49,11411,10675,90
1807,8,8,7177,7158,16
1825,7,5,8527,8014,12
1826,4,5,6872,4078,9
1835,33,46,12882,12980,79
1836,18,20,7656,6373,38
1855,1,2,214,4875,3
1880,5,4,5878,6625,9
1884,10,10,10433,9108,20
1891,1,2,1,6575,3
1898,15,20,10802,10287,35
1915,1,2,32,1588,3
1935,6,7,7788,7980,13
1938,2,2,6840,6837,4
1944,2,1,617,155,3
1949,2,1,636,54,3
1952,4,5,842,934,9
1971,7,7,4610,5525,14
1977,2,1,634,1,3
1979,2,2,4631,4692,4
2008,12,11,7260,7312,23
2009,9,16,3786,6309,25
2026,2,2,4203,4213,4
2043,2,1,6944,45,3
2049,2,3,6660,9003,5
2050,20,25,9520,9951,45
2051,4,7,10074,11400,11
2054,3,2,922,630,5
2062,9,7,9130,9397,16
2066,4,3,10745,9564,7
2068,2,6,7336,10662,8
2072,2,2,6558,6561,4
2073,1,2,525,6622,3
2076,4,3,10167,8999,7
2077,4,4,10802,10378,8
2078,4,2,9950,6519,6
2080,2,6,6085,10497,8
2085,3,2,9569,7212,5
2087,5,4,10798,9824,9
2113,2,3,699,859,5
2115,11,14,3460,3441,25
2154,4,7,8317,8212,11
2155,2,1,136158,144,3
2167,11,7,10837,11030,18
2170,4,3,7386,6566,7
2182,12,21,10470,10776,33
2187,1,3,65,9778,4
2190,3,2,7814,6994,5
2239,1,3,9,9202,4
2263,3,1,6592,50,4
2312,3,2,2852,2131,5
2321,9,10,10714,11080,19
2369,2,1,4522,34,3
2384,50,53,5859,5714,103
2388,3,3,64363,6349,6
2401,3,4,9936,11208,7
2413,22,25,10469,10966,47
2426,5,3,11045,9203,8
2429,1,2,1,5633,3
2432,12,10,6183,3971,22
2436,1,1,2,2,2
2437,3,1,6612,45,4
2440,4,2,5142,4757,6
2441,4,7,6794,69486,11
2443,3,1,4224,14,4
2456,3,2,1046,1111,5
2459,9,4,2845,2970,13
2460,3,2,5329,4208,5
2462,4,4,4472,4521,8
2463,1,2,3,4100,3
2468,2,1,1301,324,3
2474,1,2,85,3832,3
2480,7,7,6180,5207,14
2481,1,2,4,219476,3
2489,1,3,169,88430,4
2497,4,4,1851,1696,8
2498,6,2,3634,3998,8
2499,3,1,4120,11,4
2500,7,5,4586,4514,12
2503,6,5,6015,2782,11
2532,1,3,323,3528,4
2534,1,1,1,2,2
2549,1,2,42,4331,3
2553,2,1,959,6,3
2555,10,9,3161,3244,19
2559,12,14,4506,3364,26
2562,1,3,387,2216,4
2563,6,4,4318,3867,10
2566,1,2,65,1080,3
2580,1,1,42,2,2
2581,7,11,4489,4844,18
2588,5,7,1738,1814,12
2594,13,13,4203,4471,26
2597,2,2,1357,1367,4
2598,43,24,4212,3995,67
2599,3,2,3727,3209,5
2616,3,5,5770,15680,8
2628,4,5,2164,2619,9
2646,7,9,17260,5630,16
2661,3,1,1290,78,4
2666,10,13,5058,4796,23
2682,5,7,10853,10684,12
2696,4,1,1373,24,5
2698,4,2,7914,5243,6
2699,2,6,4801,8009,8
2700,2,1,4490,266,3
2701,6,11,2729,2536,17
2715,1,5,414,3893,6
2737,3,3,1373,1462,6
2742,13,10,8336,12425,23
2753,24,26,9201,9039,50
2768,4,3,1950,1604,7
2792,8,5,2807,2097,13
2812,1,3,125,1371,4
2814,5,8,8021,8974,13
2848,3,2,1405,5072,5
2856,3,1,2236,19,4
2888,34,27,5446,6945,61
2898,4,4,6710,7776,8
2902,1,5,184,1759,6
2912,7,8,3404,4659,15
2918,3,1,3349,2,4
2927,9,11,3431,4425,20
2928,2,3,3582,4648,5
2930,1,1,68,174619,2
2931,3,2,2430,90110,5
2945,1,1,160,5,2
2961,6,2,4436,1618,8
2982,1,2,44348,1256,3
2984,15,13,3938,3925,28
2989,1,1,36,16,2
2991,13,13,5220,5465,26
2995,1,2,10,4610,3
2998,11,14,2121,2166,25
3007,6,2,5546,3134,8
3013,2,4,3553,3602,6
3016,1,1,960,228,2
3028,10,10,12059,11544,20
3034,2,1,7331,7,3
3043,2,2,1264,1210,4
3045,2,2,3101,2455,4
3057,2,1,4411,10,3
3061,5,7,1929,2056,12
3066,2,3,4837,6321,5
3067,43,49,6474,6296,92
3091,16,16,9756,4520,32
3095,4,5,1865,2058,9
3135,1,1,163,268,2
3164,8,2,5834,3316,10
3188,1,1,4,3,2
3189,10,8,4985,4456,18
3224,1,1,29,391,2
3279,4,4,8141,8739,8
3283,1,1,8,26,2
